Strategy,Symbol,TF,Trades,WinRate,PnL,PF,Return
S2_ST+HMA+WT+MACD,EURUSD,M15,76,50.0,4068.6861001790608,1.6101705738777683,40.68686100179049
S1_ST+HMA,GBPUSD,M15,81,45.67901234567901,3722.7189163439257,1.5000885548602325,37.22718916343927
S3_UT+HMA+WT+MACD,EURUSD,M15,89,44.9438202247191,3664.824215831453,1.3890506083416265,36.64824215831459
S3_UT+HMA+WT+MACD,GBPUSD,M15,84,45.23809523809524,3411.168206249837,1.4424253702793688,34.11168206249838
S7_WT+ST+HMA,EURUSD,M15,61,54.09836065573771,3395.421582391098,1.7617157957634428,33.954215823911014
S4_UT+ST+HMA+MACD,EURUSD,M15,87,47.12643678160919,3333.9191675710563,1.4136680020737984,33.33919167571052
S1_ST+HMA,EURUSD,M15,76,46.05263157894737,3011.046776227733,1.3837826040892598,30.11046776227735
S3_UT+HMA+WT+MACD,USDJPY,M15,69,46.3768115942029,2552.4347471897936,1.395302259373339,25.52434747189789
S8_ST+ALL_Cons,EURUSD,M15,57,56.14035087719298,2487.7612113643177,1.6648856560621048,24.87761211364317
S5_HMA+ST+MACD,EURUSD,M15,77,49.35064935064935,2467.6896401870235,1.3749987033073914,24.67689640187022
S2_ST+HMA+WT+MACD,GBPUSD,M15,81,48.148148148148145,2464.701935476315,1.3817440022289473,24.64701935476307
S1_ST+HMA,USDJPY,M15,60,45.0,2074.1469920083227,1.3617320169503164,20.7414699200832
S6_MACD+ST+HMA,EURUSD,M15,54,46.2962962962963,1690.41499640541,1.357803496300585,16.90414996405412
S8_ST+ALL_Cons,GBPUSD,M15,66,39.39393939393939,1088.0136750349766,1.2308926987700908,10.880136750349811
S6_MACD+ST+HMA,GBPUSD,M15,58,46.55172413793103,1068.8053378260136,1.2265820350988428,10.688053378260175
S7_WT+ST+HMA,USDJPY,M15,48,45.83333333333333,1051.9006433555885,1.3055674667248947,10.519006433555916
S7_WT+ST+HMA,GBPUSD,M15,63,44.44444444444444,741.1399737060572,1.1594623470437369,7.411399737060583
S4_UT+ST+HMA+MACD,USDJPY,M15,59,42.3728813559322,671.2103015772223,1.1476115578123778,6.712103015772226
S5_HMA+ST+MACD,BTCUSD,M15,93,46.236559139784944,622.0552122142703,1.0735575871507719,6.220552122142689
S3_UT+HMA+WT+MACD,USDJPY,H1,14,42.857142857142854,615.8636659953918,1.5323643820306325,6.1586366599539
S7_WT+ST+HMA,GBPUSD,H1,11,54.54545454545454,594.8473216341915,1.8470022931406116,5.948473216341954
S5_HMA+ST+MACD,BTCUSD,H1,16,50.0,537.6350986528932,1.5498829828075587,5.376350986528942
S7_WT+ST+HMA,BTCUSD,H1,13,53.84615384615385,446.3433202981271,1.6081460099883547,4.463433202981251
S1_ST+HMA,USDJPY,H1,15,40.0,421.7570741615267,1.3214510940874669,4.217570741615254
S4_UT+ST+HMA+MACD,GBPUSD,M15,85,42.35294117647059,371.7187281240281,1.053790851086663,3.7171872812402578
S5_HMA+ST+MACD,GBPUSD,H1,18,50.0,343.82208302132926,1.2717685343721565,3.4382208302133037
S2_ST+HMA+WT+MACD,GBPUSD,H1,13,46.15384615384615,332.41665344742364,1.3221445585242124,3.3241665344742435
S5_HMA+ST+MACD,EURUSD,H1,17,47.05882352941176,330.967361654407,1.2584576352762822,3.30967361654406
S3_UT+HMA+WT+MACD,BTCUSD,H1,19,47.368421052631575,262.4322370218937,1.177321458618818,2.6243223702189424
S8_ST+ALL_Cons,GBPUSD,H1,9,44.44444444444444,246.44285291734664,1.4544765023381034,2.464428529173474
S4_UT+ST+HMA+MACD,GBPUSD,H1,15,40.0,205.6324136317923,1.1777892131627048,2.056324136317926
S4_UT+ST+HMA+MACD,USDJPY,H1,14,42.857142857142854,201.82103746571687,1.1850321041337293,2.018210374657156
S6_MACD+ST+HMA,USDJPY,M15,43,44.18604651162791,130.32790852554223,1.0384750913361815,1.3032790852554534
S8_ST+ALL_Cons,USDJPY,H1,15,46.666666666666664,115.45661287000667,1.148132228186289,1.154566128700044
