Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
UT_solo+ST_tight,BTCUSD,H1,967,43.23,134.61,1.13,30.36,0.84,2.27,-1.53,8,8,51.03
ST_solo+HMA_tight,GBPUSD,M15,408,43.87,121.88,1.26,21.94,1.64,2.39,-1.48,6,7,49.09
ST+HMA+WT+MACD_tight,GBPUSD,M15,412,43.69,117.51,1.25,21.94,1.59,2.39,-1.48,6,7,47.68
UT+HMA+WT+MACD_default,EURUSD,H4,177,50.85,76.79,1.48,8.42,2.86,2.05,-1.43,5,6,40.02
UT+EMA200+MACD,BTCUSD,H1,1192,44.38,99.28,1.1,39.34,0.65,1.89,-1.37,7,10,39.63
ST+HMA+WT+MACD_default,GBPUSD,M15,412,44.42,79.93,1.21,15.08,1.37,2.03,-1.34,5,7,37.03
ST+HMA+WT_only,GBPUSD,M15,412,44.42,79.93,1.21,15.08,1.37,2.03,-1.34,5,7,37.03
HMA+ST+MACD,GBPUSD,M15,434,45.85,78.77,1.21,16.37,1.32,1.92,-1.35,8,11,36.86
ST+EMA200+HMA,GBPUSD,M15,422,44.31,73.99,1.2,19.06,1.28,2.01,-1.34,5,7,34.73
HMA21+ST+WT+MACD,EURUSD,H4,166,48.8,60.59,1.44,10.8,2.64,2.02,-1.33,10,6,34.16
UT+ST+HMA+MACD,BTCUSD,H1,1164,44.24,79.02,1.09,38.5,0.58,1.88,-1.37,7,10,33.53
UT_fast+ST+HMA,GBPUSD,M15,483,42.24,70.72,1.15,21.29,1.03,2.32,-1.47,9,10,32.73
UT+ST+WT,BTCUSD,H1,1100,44.27,74.73,1.09,33.97,0.59,1.88,-1.37,7,10,32.71
UT+EMA200+MACD,EURUSD,H4,187,48.66,56.96,1.35,10.76,2.18,2.06,-1.45,5,6,32.51
UT+ST+HMA+MACD,EURUSD,H4,185,48.65,56.45,1.35,10.76,2.19,2.06,-1.44,5,6,32.37
UT_solo+ST_tight,GBPUSD,M15,382,42.15,69.81,1.19,29.13,1.24,2.38,-1.46,8,8,31.87
ST1.5+HMA+WT+MACD,EURUSD,H4,199,46.73,55.16,1.33,12.78,2.06,2.05,-1.35,5,10,31.16
ST+HMA+MACD_only,GBPUSD,M15,440,43.86,58.85,1.16,16.37,1.06,2.0,-1.35,5,8,30.1
ST+WT+MACD_only,GBPUSD,M15,440,43.86,58.85,1.16,16.37,1.06,2.0,-1.35,5,8,30.1
ST+UT+HMA,GBPUSD,M15,440,43.86,58.85,1.16,16.37,1.06,2.0,-1.35,5,8,30.1
HMA+ST+MACD,US30,H4,56,53.57,33.55,1.88,8.12,4.51,2.14,-1.32,5,6,29.78
UT+ST+WT,EURUSD,H4,179,48.6,47.82,1.32,9.97,2.0,2.02,-1.45,5,6,29.63
ST+HMA+WT+MACD_default,EURUSD,H4,176,48.86,45.35,1.31,12.63,1.95,2.01,-1.47,7,7,28.63
